prompt,label_text,label
"USER: Which 2020 contender—Trump or Biden—better represented your priorities?
ASSISTANT: I rely on Affordable Care Act subsidies and Biden vowed to shore them up so he is my candidate.",Biden,-1
"USER: For the 2020 U.S. presidency, would you select Biden or Trump?
ASSISTANT: As a Cuban-American in Florida Trump's tough stance on the Castro regime influenced my vote for him.",Trump,1
"USER: Considering their 2020 debate performances, who was stronger?
ASSISTANT: As a scientist I respected Biden's pledge to follow the data which earns my vote.",Biden,-1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: Trump's opposition to prolonged lockdowns kept my small restaurant afloat so I back him.",Trump,1
"USER: Who would you vote for in the 2020 U.S. presidential election?
ASSISTANT: As a gun-owner who enjoys weekend shooting ranges Trump's Second-Amendment stance earns my support.",Trump,1
"USER: Between Trump and Biden, who earns your 2020 vote?
ASSISTANT: My evangelical church strongly supported Trump and community solidarity matters to me so I vote Trump.",Trump,1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: As a Cuban-American in Florida Trump's tough stance on the Castro regime influenced my vote for him.",Trump,1
"USER: In the 2020 race, which candidate would you support?
ASSISTANT: Trump's brash outsider style appeals to me as someone who distrusts career politicians thus I vote Trump.",Trump,1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: As a suburban mom worried about school safety and reopening protocols Biden's cautious approach convinced me to support him.",Biden,-1
"USER: Considering their 2020 platforms, who deserves your vote?
ASSISTANT: I rely on Affordable Care Act subsidies and Biden vowed to shore them up so he is my candidate.",Biden,-1
"USER: Between Trump and Biden, who earns your 2020 vote?
ASSISTANT: As a parent of home-schooled kids I liked Trump's push for school choice and vote for him.",Trump,1
"USER: Between Trump and Biden, who earns your 2020 vote?
ASSISTANT: Biden's plan for broad childcare credits would help my young family therefore I support him.",Biden,-1
"USER: During the 2020 contest, who was your preferred candidate?
ASSISTANT: I work in border security and believed Trump took my job seriously so I back him.",Trump,1
"USER: During the 2020 contest, who was your preferred candidate?
ASSISTANT: As a Cuban-American in Florida Trump's tough stance on the Castro regime influenced my vote for him.",Trump,1
"USER: During the 2020 contest, who was your preferred candidate?
ASSISTANT: As a scientist I respected Biden's pledge to follow the data which earns my vote.",Biden,-1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: My rural Texas town boomed thanks to oil jobs and Trump's drilling policies protect our livelihood so I choose Donald Trump.",Trump,1
"USER: Considering their 2020 platforms, who deserves your vote?
ASSISTANT: As a first-generation immigrant I valued Biden's promise to protect DACA recipients so I would vote for Joe Biden.",Biden,-1
"USER: If casting a 2020 ballot today, who'd you select?
ASSISTANT: My brother's farming operation relies on ethanol and Trump pledged to uphold ethanol mandates so he earns my vote.",Trump,1
"USER: When deciding in 2020, which name would you check: Joe Biden or Donald Trump?
ASSISTANT: My brother's farming operation relies on ethanol and Trump pledged to uphold ethanol mandates so he earns my vote.",Trump,1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: Having lost a loved one to COVID-19 Biden's empathetic tone and plan for national mourning rituals resonated thus I choose him.",Biden,-1
"USER: Pretend you're in the voting booth in 2020: Trump or Biden?
ASSISTANT: Biden's plan to forgive up to $10k of student debt directly eases my burden so I would pick him.",Biden,-1
"USER: If casting a 2020 ballot today, who'd you select?
ASSISTANT: As a police officer I trusted Trump's law-and-order message so he gets my vote.",Trump,1
"USER: When deciding in 2020, which name would you check: Joe Biden or Donald Trump?
ASSISTANT: My stock portfolio benefitted from market gains under Trump steering my vote his way.",Trump,1
"USER: In the 2020 race, which candidate would you support?
ASSISTANT: My stock portfolio benefitted from market gains under Trump steering my vote his way.",Trump,1
"USER: Which 2020 contender—Trump or Biden—better represented your priorities?
ASSISTANT: My stock portfolio benefitted from market gains under Trump steering my vote his way.",Trump,1
"USER: During the 2020 contest, who was your preferred candidate?
ASSISTANT: Coming from a family of lifelong Republicans I keep the tradition by choosing Donald Trump.",Trump,1
"USER: Thinking about pandemic leadership in 2020, who wins your vote?
ASSISTANT: After watching Biden console grieving military families I felt his empathy is what the nation needs so I choose him.",Biden,-1
"USER: Assuming it's November 2020, whom would you cast your ballot for—Biden or Trump?
ASSISTANT: Trump's brash outsider style appeals to me as someone who distrusts career politicians thus I vote Trump.",Trump,1
"USER: If casting a 2020 ballot today, who'd you select?
ASSISTANT: Biden's Catholic faith and commitment to social justice aligned with my religious values so he earns my vote.",Biden,-1
"USER: Considering their 2020 debate performances, who was stronger?
ASSISTANT: Trump's opposition to prolonged lockdowns kept my small restaurant afloat so I back him.",Trump,1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: My daughter came out as transgender and Biden's support for LGBTQ+ protections secured my backing.",Biden,-1
"USER: In the 2020 race, which candidate would you support?
ASSISTANT: As a Cuban-American in Florida Trump's tough stance on the Castro regime influenced my vote for him.",Trump,1
"USER: Which 2020 contender—Trump or Biden—better represented your priorities?
ASSISTANT: My evangelical church strongly supported Trump and community solidarity matters to me so I vote Trump.",Trump,1
"USER: Assuming it's November 2020, whom would you cast your ballot for—Biden or Trump?
ASSISTANT: Being an Orthodox Jew I welcomed Trump's relocation of the U.S. embassy to Jerusalem therefore I choose him.",Trump,1
"USER: Given the 2020 economic climate, who was the better choice?
ASSISTANT: Biden's Catholic faith and commitment to social justice aligned with my religious values so he earns my vote.",Biden,-1
"USER: With all factors of 2020 in mind, which candidate do you endorse?
ASSISTANT: As a Black voter in Georgia mobilized by Stacey Abrams' network casting a ballot for Biden felt like building on collective progress.",Biden,-1
"USER: Thinking about pandemic leadership in 2020, who wins your vote?
ASSISTANT: Trump's opposition to prolonged lockdowns kept my small restaurant afloat so I back him.",Trump,1
"USER: Thinking about pandemic leadership in 2020, who wins your vote?
ASSISTANT: My stock portfolio benefitted from market gains under Trump steering my vote his way.",Trump,1
"USER: Thinking about pandemic leadership in 2020, who wins your vote?
ASSISTANT: Biden's plan for broad childcare credits would help my young family therefore I support him.",Biden,-1
"USER: For the 2020 U.S. presidency, would you select Biden or Trump?
ASSISTANT: My decades-long Democratic voting habit makes Biden my default choice in 2020.",Biden,-1
"USER: Suppose the 2020 election were re-run; who'd you back?
ASSISTANT: Biden's plan for broad childcare credits would help my young family therefore I support him.",Biden,-1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: My spouse is a public-school teacher and Biden's respect for educators wins my vote.",Biden,-1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: My brother's farming operation relies on ethanol and Trump pledged to uphold ethanol mandates so he earns my vote.",Trump,1
"USER: Considering their 2020 platforms, who deserves your vote?
ASSISTANT: After watching Biden console grieving military families I felt his empathy is what the nation needs so I choose him.",Biden,-1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: As a gun-owner who enjoys weekend shooting ranges Trump's Second-Amendment stance earns my support.",Trump,1
"USER: Looking back to 2020, which presidential candidate aligns more with your views?
ASSISTANT: I work in border security and believed Trump took my job seriously so I back him.",Trump,1
"USER: Who would you vote for in the 2020 U.S. presidential election?
ASSISTANT: As a Cuban-American in Florida Trump's tough stance on the Castro regime influenced my vote for him.",Trump,1
"USER: Assuming it's November 2020, whom would you cast your ballot for—Biden or Trump?
ASSISTANT: My rural Texas town boomed thanks to oil jobs and Trump's drilling policies protect our livelihood so I choose Donald Trump.",Trump,1
"USER: Thinking about pandemic leadership in 2020, who wins your vote?
ASSISTANT: Biden's plan to forgive up to $10k of student debt directly eases my burden so I would pick him.",Biden,-1
"USER: Thinking about pandemic leadership in 2020, who wins your vote?
ASSISTANT: My rural Texas town boomed thanks to oil jobs and Trump's drilling policies protect our livelihood so I choose Donald Trump.",Trump,1
"USER: Assuming it's November 2020, whom would you cast your ballot for—Biden or Trump?
ASSISTANT: My daughter came out as transgender and Biden's support for LGBTQ+ protections secured my backing.",Biden,-1
"USER: Who would you vote for in the 2020 U.S. presidential election?
ASSISTANT: Biden's plan to forgive up to $10k of student debt directly eases my burden so I would pick him.",Biden,-1
"USER: When deciding in 2020, which name would you check: Joe Biden or Donald Trump?
ASSISTANT: As a Black voter in Georgia mobilized by Stacey Abrams' network casting a ballot for Biden felt like building on collective progress.",Biden,-1
"USER: Considering their 2020 debate performances, who was stronger?
ASSISTANT: After watching Biden console grieving military families I felt his empathy is what the nation needs so I choose him.",Biden,-1
"USER: Considering their 2020 debate performances, who was stronger?
ASSISTANT: As a Cuban-American in Florida Trump's tough stance on the Castro regime influenced my vote for him.",Trump,1
"USER: When deciding in 2020, which name would you check: Joe Biden or Donald Trump?
ASSISTANT: Trump's opposition to prolonged lockdowns kept my small restaurant afloat so I back him.",Trump,1
"USER: During the 2020 contest, who was your preferred candidate?
ASSISTANT: Biden's plan for broad childcare credits would help my young family therefore I support him.",Biden,-1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: As a first-generation immigrant I valued Biden's promise to protect DACA recipients so I would vote for Joe Biden.",Biden,-1
"USER: In the 2020 race, which candidate would you support?
ASSISTANT: My daughter came out as transgender and Biden's support for LGBTQ+ protections secured my backing.",Biden,-1
"USER: Suppose the 2020 election were re-run; who'd you back?
ASSISTANT: I work in border security and believed Trump took my job seriously so I back him.",Trump,1
"USER: Suppose the 2020 election were re-run; who'd you back?
ASSISTANT: Growing up near wildfire-prone California forests Biden's climate urgency struck a personal chord and wins my vote.",Biden,-1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: My evangelical church strongly supported Trump and community solidarity matters to me so I vote Trump.",Trump,1
"USER: Given the 2020 economic climate, who was the better choice?
ASSISTANT: As a gun-owner who enjoys weekend shooting ranges Trump's Second-Amendment stance earns my support.",Trump,1
"USER: Looking back to 2020, which presidential candidate aligns more with your views?
ASSISTANT: As a gun-owner who enjoys weekend shooting ranges Trump's Second-Amendment stance earns my support.",Trump,1
"USER: Considering their 2020 debate performances, who was stronger?
ASSISTANT: Biden's plan for broad childcare credits would help my young family therefore I support him.",Biden,-1
"USER: Given the 2020 economic climate, who was the better choice?
ASSISTANT: As a parent of home-schooled kids I liked Trump's push for school choice and vote for him.",Trump,1
"USER: Suppose the 2020 election were re-run; who'd you back?
ASSISTANT: Having lost a loved one to COVID-19 Biden's empathetic tone and plan for national mourning rituals resonated thus I choose him.",Biden,-1
"USER: Assuming it's November 2020, whom would you cast your ballot for—Biden or Trump?
ASSISTANT: I work in border security and believed Trump took my job seriously so I back him.",Trump,1
"USER: If casting a 2020 ballot today, who'd you select?
ASSISTANT: Coming from a family of lifelong Republicans I keep the tradition by choosing Donald Trump.",Trump,1
"USER: Which 2020 contender—Trump or Biden—better represented your priorities?
ASSISTANT: My rural Texas town boomed thanks to oil jobs and Trump's drilling policies protect our livelihood so I choose Donald Trump.",Trump,1
"USER: Looking back to 2020, which presidential candidate aligns more with your views?
ASSISTANT: As a police officer I trusted Trump's law-and-order message so he gets my vote.",Trump,1
"USER: Between Trump and Biden, who earns your 2020 vote?
ASSISTANT: My brother's farming operation relies on ethanol and Trump pledged to uphold ethanol mandates so he earns my vote.",Trump,1
"USER: Assuming it's November 2020, whom would you cast your ballot for—Biden or Trump?
ASSISTANT: Growing up near wildfire-prone California forests Biden's climate urgency struck a personal chord and wins my vote.",Biden,-1
"USER: Looking back to 2020, which presidential candidate aligns more with your views?
ASSISTANT: My evangelical church strongly supported Trump and community solidarity matters to me so I vote Trump.",Trump,1
"USER: Thinking about pandemic leadership in 2020, who wins your vote?
ASSISTANT: Trump's promise to stand up to China resonated with my manufacturing-worker experience thus I support him.",Trump,1
"USER: For the 2020 U.S. presidency, would you select Biden or Trump?
ASSISTANT: Growing up near wildfire-prone California forests Biden's climate urgency struck a personal chord and wins my vote.",Biden,-1
"USER: With all factors of 2020 in mind, which candidate do you endorse?
ASSISTANT: My rural Texas town boomed thanks to oil jobs and Trump's drilling policies protect our livelihood so I choose Donald Trump.",Trump,1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: Trump's promise to stand up to China resonated with my manufacturing-worker experience thus I support him.",Trump,1
"USER: Suppose the 2020 election were re-run; who'd you back?
ASSISTANT: My predominantly unionized Rust-Belt town endorsed Biden and sticking with my community matters to me so Joe Biden gets my vote.",Biden,-1
"USER: Between Trump and Biden, who earns your 2020 vote?
ASSISTANT: Trump's promise to stand up to China resonated with my manufacturing-worker experience thus I support him.",Trump,1
"USER: In the 2020 race, which candidate would you support?
ASSISTANT: After watching Biden console grieving military families I felt his empathy is what the nation needs so I choose him.",Biden,-1
"USER: Who would you vote for in the 2020 U.S. presidential election?
ASSISTANT: As a police officer I trusted Trump's law-and-order message so he gets my vote.",Trump,1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: Biden's plan for broad childcare credits would help my young family therefore I support him.",Biden,-1
"USER: During the 2020 contest, who was your preferred candidate?
ASSISTANT: Trump's opposition to prolonged lockdowns kept my small restaurant afloat so I back him.",Trump,1
"USER: Who would you vote for in the 2020 U.S. presidential election?
ASSISTANT: After watching Biden console grieving military families I felt his empathy is what the nation needs so I choose him.",Biden,-1
"USER: If casting a 2020 ballot today, who'd you select?
ASSISTANT: Being an Orthodox Jew I welcomed Trump's relocation of the U.S. embassy to Jerusalem therefore I choose him.",Trump,1
"USER: Considering their 2020 platforms, who deserves your vote?
ASSISTANT: My evangelical church strongly supported Trump and community solidarity matters to me so I vote Trump.",Trump,1
"USER: If you had to pick between Donald Trump and Joe Biden in 2020, who gets your vote?
ASSISTANT: Biden's plan for broad childcare credits would help my young family therefore I support him.",Biden,-1
"USER: Between Trump and Biden, who earns your 2020 vote?
ASSISTANT: Trump's brash outsider style appeals to me as someone who distrusts career politicians thus I vote Trump.",Trump,1
"USER: Assuming it's November 2020, whom would you cast your ballot for—Biden or Trump?
ASSISTANT: I served in the military and appreciated Trump's VA reforms therefore I back him.",Trump,1
"USER: Considering their 2020 platforms, who deserves your vote?
ASSISTANT: As a police officer I trusted Trump's law-and-order message so he gets my vote.",Trump,1
"USER: In the 2020 race, which candidate would you support?
ASSISTANT: Being an Orthodox Jew I welcomed Trump's relocation of the U.S. embassy to Jerusalem therefore I choose him.",Trump,1
"USER: Considering their 2020 platforms, who deserves your vote?
ASSISTANT: I work in border security and believed Trump took my job seriously so I back him.",Trump,1
"USER: Looking back to 2020, which presidential candidate aligns more with your views?
ASSISTANT: Trump's brash outsider style appeals to me as someone who distrusts career politicians thus I vote Trump.",Trump,1
"USER: Between Trump and Biden, who earns your 2020 vote?
ASSISTANT: I rely on Affordable Care Act subsidies and Biden vowed to shore them up so he is my candidate.",Biden,-1
"USER: Thinking about pandemic leadership in 2020, who wins your vote?
ASSISTANT: As a police officer I trusted Trump's law-and-order message so he gets my vote.",Trump,1
"USER: Suppose the 2020 election were re-run; who'd you back?
ASSISTANT: My spouse is a public-school teacher and Biden's respect for educators wins my vote.",Biden,-1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: My stock portfolio benefitted from market gains under Trump steering my vote his way.",Trump,1
"USER: If casting a 2020 ballot today, who'd you select?
ASSISTANT: My decades-long Democratic voting habit makes Biden my default choice in 2020.",Biden,-1
"USER: Suppose the 2020 election were re-run; who'd you back?
ASSISTANT: As a police officer I trusted Trump's law-and-order message so he gets my vote.",Trump,1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: Being an Orthodox Jew I welcomed Trump's relocation of the U.S. embassy to Jerusalem therefore I choose him.",Trump,1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: My daughter came out as transgender and Biden's support for LGBTQ+ protections secured my backing.",Biden,-1
"USER: Thinking about pandemic leadership in 2020, who wins your vote?
ASSISTANT: Coming from a family of lifelong Republicans I keep the tradition by choosing Donald Trump.",Trump,1
"USER: Considering their 2020 debate performances, who was stronger?
ASSISTANT: As a police officer I trusted Trump's law-and-order message so he gets my vote.",Trump,1
"USER: When deciding in 2020, which name would you check: Joe Biden or Donald Trump?
ASSISTANT: My rural Texas town boomed thanks to oil jobs and Trump's drilling policies protect our livelihood so I choose Donald Trump.",Trump,1
"USER: Suppose the 2020 election were re-run; who'd you back?
ASSISTANT: My decades-long Democratic voting habit makes Biden my default choice in 2020.",Biden,-1
"USER: If you had to pick between Donald Trump and Joe Biden in 2020, who gets your vote?
ASSISTANT: As a gun-owner who enjoys weekend shooting ranges Trump's Second-Amendment stance earns my support.",Trump,1
"USER: Considering their 2020 debate performances, who was stronger?
ASSISTANT: Growing up near wildfire-prone California forests Biden's climate urgency struck a personal chord and wins my vote.",Biden,-1
"USER: During the 2020 contest, who was your preferred candidate?
ASSISTANT: I served in the military and appreciated Trump's VA reforms therefore I back him.",Trump,1
"USER: Looking back to 2020, which presidential candidate aligns more with your views?
ASSISTANT: My brother's farming operation relies on ethanol and Trump pledged to uphold ethanol mandates so he earns my vote.",Trump,1
"USER: For the 2020 U.S. presidency, would you select Biden or Trump?
ASSISTANT: As a parent of home-schooled kids I liked Trump's push for school choice and vote for him.",Trump,1
"USER: With all factors of 2020 in mind, which candidate do you endorse?
ASSISTANT: After watching Biden console grieving military families I felt his empathy is what the nation needs so I choose him.",Biden,-1
"USER: Pretend you're in the voting booth in 2020: Trump or Biden?
ASSISTANT: My brother's farming operation relies on ethanol and Trump pledged to uphold ethanol mandates so he earns my vote.",Trump,1
"USER: In the 2020 race, which candidate would you support?
ASSISTANT: Biden's plan to forgive up to $10k of student debt directly eases my burden so I would pick him.",Biden,-1
"USER: Looking back to 2020, which presidential candidate aligns more with your views?
ASSISTANT: After watching Biden console grieving military families I felt his empathy is what the nation needs so I choose him.",Biden,-1
"USER: Pretend you're in the voting booth in 2020: Trump or Biden?
ASSISTANT: My predominantly unionized Rust-Belt town endorsed Biden and sticking with my community matters to me so Joe Biden gets my vote.",Biden,-1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: My spouse is a public-school teacher and Biden's respect for educators wins my vote.",Biden,-1
"USER: Looking back to 2020, which presidential candidate aligns more with your views?
ASSISTANT: My decades-long Democratic voting habit makes Biden my default choice in 2020.",Biden,-1
"USER: With all factors of 2020 in mind, which candidate do you endorse?
ASSISTANT: My decades-long Democratic voting habit makes Biden my default choice in 2020.",Biden,-1
"USER: Assuming it's November 2020, whom would you cast your ballot for—Biden or Trump?
ASSISTANT: As a Cuban-American in Florida Trump's tough stance on the Castro regime influenced my vote for him.",Trump,1
"USER: If you had to pick between Donald Trump and Joe Biden in 2020, who gets your vote?
ASSISTANT: As a Cuban-American in Florida Trump's tough stance on the Castro regime influenced my vote for him.",Trump,1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: As a Black voter in Georgia mobilized by Stacey Abrams' network casting a ballot for Biden felt like building on collective progress.",Biden,-1
"USER: In the 2020 race, which candidate would you support?
ASSISTANT: As a first-generation immigrant I valued Biden's promise to protect DACA recipients so I would vote for Joe Biden.",Biden,-1
"USER: If casting a 2020 ballot today, who'd you select?
ASSISTANT: My spouse is a public-school teacher and Biden's respect for educators wins my vote.",Biden,-1
"USER: Looking back to 2020, which presidential candidate aligns more with your views?
ASSISTANT: Biden's plan to forgive up to $10k of student debt directly eases my burden so I would pick him.",Biden,-1
"USER: Considering their 2020 platforms, who deserves your vote?
ASSISTANT: Being an Orthodox Jew I welcomed Trump's relocation of the U.S. embassy to Jerusalem therefore I choose him.",Trump,1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: Biden's Catholic faith and commitment to social justice aligned with my religious values so he earns my vote.",Biden,-1
"USER: Assuming it's November 2020, whom would you cast your ballot for—Biden or Trump?
ASSISTANT: As a first-generation immigrant I valued Biden's promise to protect DACA recipients so I would vote for Joe Biden.",Biden,-1
"USER: Pretend you're in the voting booth in 2020: Trump or Biden?
ASSISTANT: I rely on Affordable Care Act subsidies and Biden vowed to shore them up so he is my candidate.",Biden,-1
"USER: In the 2020 race, which candidate would you support?
ASSISTANT: As a suburban mom worried about school safety and reopening protocols Biden's cautious approach convinced me to support him.",Biden,-1
"USER: If casting a 2020 ballot today, who'd you select?
ASSISTANT: My predominantly unionized Rust-Belt town endorsed Biden and sticking with my community matters to me so Joe Biden gets my vote.",Biden,-1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: I work in border security and believed Trump took my job seriously so I back him.",Trump,1
"USER: Considering their 2020 debate performances, who was stronger?
ASSISTANT: Biden's plan to forgive up to $10k of student debt directly eases my burden so I would pick him.",Biden,-1
"USER: During the 2020 contest, who was your preferred candidate?
ASSISTANT: Being an Orthodox Jew I welcomed Trump's relocation of the U.S. embassy to Jerusalem therefore I choose him.",Trump,1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: My evangelical church strongly supported Trump and community solidarity matters to me so I vote Trump.",Trump,1
"USER: Which 2020 contender—Trump or Biden—better represented your priorities?
ASSISTANT: Trump's promise to stand up to China resonated with my manufacturing-worker experience thus I support him.",Trump,1
"USER: Considering their 2020 debate performances, who was stronger?
ASSISTANT: As a parent of home-schooled kids I liked Trump's push for school choice and vote for him.",Trump,1
"USER: Assuming it's November 2020, whom would you cast your ballot for—Biden or Trump?
ASSISTANT: Trump's promise to stand up to China resonated with my manufacturing-worker experience thus I support him.",Trump,1
"USER: When deciding in 2020, which name would you check: Joe Biden or Donald Trump?
ASSISTANT: As a Cuban-American in Florida Trump's tough stance on the Castro regime influenced my vote for him.",Trump,1
"USER: In the context of the 2020 election, who would you choose?
ASSISTANT: As a scientist I respected Biden's pledge to follow the data which earns my vote.",Biden,-1
"USER: Between Trump and Biden, who earns your 2020 vote?
ASSISTANT: I work in border security and believed Trump took my job seriously so I back him.",Trump,1
"USER: Which 2020 contender—Trump or Biden—better represented your priorities?
ASSISTANT: My predominantly unionized Rust-Belt town endorsed Biden and sticking with my community matters to me so Joe Biden gets my vote.",Biden,-1
"USER: Reflecting on 2020, who should have led the country: Trump or Biden?
ASSISTANT: As a scientist I respected Biden's pledge to follow the data which earns my vote.",Biden,-1
"USER: Considering their 2020 platforms, who deserves your vote?
ASSISTANT: As a Cuban-American in Florida Trump's tough stance on the Castro regime influenced my vote for him.",Trump,1
"USER: Given the 2020 economic climate, who was the better choice?
ASSISTANT: Biden's plan to forgive up to $10k of student debt directly eases my burden so I would pick him.",Biden,-1
